,Name,Address,Zip,lat,lon
194,River Towers Condominiums,15 1st St S,55401,44.983222,-93.266552
195,Guthrie Theater,818 2nd St S,55415,44.978192,-93.255589
196,Open Book,1011 Washington Ave S WARD 4,55415,44.975413,-93.254175
197,Creekview Park Recreation Center,5001 Humboldt Ave N,55430,45.047445,-93.299605
198,Jenny Lind Elementary School,5025 Bryant Ave N,55430,45.04701671428571,-93.29160057142857
199,Loring Community School,2600 44th Ave N,55412,45.035536,-93.31408363636363
200,Patrick Henry High School (Gym),4320 Newton Ave N,55412,45.034409,-93.305336
201,Hamilton Manor Highrise,1314 44th Ave N,55412,45.035985,-93.296941
202,Lucy Craft Laney School,3333 Penn Ave ^^,55412,45.015958,-93.308948
203,Folwell Park Recreation Center,1615 Dowling Ave N,55412,45.023569,-93.30028
204,Cityview Community School,3350 4th St N,55412,45.016322,-93.284328
205,Lucy Craft Laney School,3333 Penn Ave ^^ WARD 5,55412,45.015958,-93.308948
206,North Regional Library,1315 Lowry Ave N,55411,45.012757,-93.296204
207,Capri Theater,2027 West Broadway,55411,45.00237,-93.306415
208,Farview Park Recreation Center,621 29th Ave N,55411,45.009071,-93.287274
209,North Commons Park Recreation Center,FRANCE AVE S 1801 James Ave N,55411,44.996978,-93.302574
210,Franklin Middle School,1501 Aldrich Ave N,55411,44.994613102040816,-93.28938496938775
211,Lincoln School,2131 12th Ave NXERXES AVE S,55411,44.988819,-93.307619
212,Phyllis Wheatley Community Center,1301 10th Ave N,55411,44.988045,-93.295824
213,Heritage Commons at Pond’s Edge,350 Van White Memorial Blvd,55405,44.98128145,-93.294569118206
214,Harrison Park Recreation Center,503 Irving Ave N,55405,44.98279924489796,-93.29957110204082
215,Bethlehem Baptist Church,720 13th Ave S,55415,44.96916640816327,-93.25488332653062
216,Elliot Park Recreation Center,1000 14th St E,55404,44.969037,-93.259785
217,Coyle Community Center,420 15th Ave S,55454,44.97062895,-93.2506277600898
218,Plymouth Congregational Church,1900 Nicollet Ave,55403,44.963843,-93.277933
219,St Mary’s University Center,2540 Park Ave,55404,44.956038,-93.265793
220,St Mary’s University Center,2540 Park Ave,55404,44.956038,-93.265793
221,Phillips Community Center,2323 11th Ave S,55404,44.959847636363634,-93.25805068686869
222,Heltzer Manor Highrise,2121 Minnehaha Ave,55404,44.9614223,-93.24312418270077
223,Seward Towers East,2910 Franklin Ave E WARD 7,55406,44.963205,-93.230215
224,Bryn Mawr Community School,252 Upton Ave S ^^,55405,44.973685,-93.314843
225,Kenwood School,2013 Penn Ave S,55405,44.96291446922617,-93.30812408946485
226,Walker Art Center,725 Vineland Place,55403,44.96881651902344,-93.28851253860289
227,Jones Harrison Residence,3700 Cedar Lake Ave,55416,44.954168949999996,-93.32739903250165
228,St Mark’s Episcopal Cathedral,519 Oak Grove St,55403,44.968124200000005,-93.28714838488821
229,Westminster Presbyterian Church,1200 Marquette Av,55403,44.9801799,-93.2673812
230,Bryn Mawr Community School,252 Upton Ave S ^^,55405,44.973685,-93.314843
231,Emerson Spanish Immersion School,1421 Spruce Place,55403,44.96826385,-93.280399125771
232,Temple Israel,2324 Emerson Ave S,55405,44.959539649999996,-93.29476642226058
233,Minnesota Church Center,122 W Franklin Ave WASHINGTON AVE N,55404,44.963110799999995,-93.28045585744792
234,Minneapolis Central Library,300 Nicollet Mall,55401,44.980606,-93.270151
235,Bakken Museum,3537 Zenith Ave S WARD 8,55416,44.938279,-93.32079
236,Horn Towers Highrise,3121 Pillsbury Ave,55408,44.945883,-93.280535
237,Lyndale Community School,312 34th St W,55408,44.941776,-93.282872
238,Martin Luther King Park (Multipurpose),4055 Nicollet Ave,55409,44.96629,-93.277817
239,Martin Luther King Park (Gym),4055 Nicollet Ave,55409,44.96629,-93.277817
240,Central Gym Park Recreation Center,3450 4th Ave S,55408,44.94045004081633,-93.27030832653062
241,Sabathani Community Center,310 38th St E,55409,44.935047,-93.271715
242,PICA Head Start/McKnight Center,4225 3rd Ave S,55409,44.925712,-93.27145322545056
243,St. Joan of Arc,4537 3rd Ave S,55419,44.9205144,-93.2725349
244,St. Joan of Arc,4537 3rd Ave S,55419,44.9205144,-93.2725349
245,Bancroft Elementary School,3829 13th Ave S,55407,44.933690600000006,-93.25556244904621
246,Bethel Evangelical Lutheran Church,4120 17th Ave S WARD 9,55407,44.927803,-93.250502
247,Church of Gichitwaa Kateri,3045 Park Ave,55407,44.9469,-93.264782
248,Powderhorn Park Rec Ctr (Gym),3400 15th Ave S,55407,44.941229,-93.253838
249,Andersen School,1098 Andersen Lane,55407,44.95337645,-93.25881410103648
250,East Phillips Park,2307 17th Ave S,55404,44.959822,-93.24950014764568
251,Walker Community Church,3104 16th Ave S,55407,44.9463801,-93.2516539
252,Corcoran Park Rec Center,3334 20th Ave S,55407,44.94234628571429,-93.24369395918367
253,Powderhorn Park Rec Ctr (Multipurpose),3400 15th Ave S,55407,44.941229,-93.253838
254,Holy Trinity Lutheran Church,2730 31st St E,55406,44.947288,-93.231982
255,Longfellow High School,3017 E 31st St WARD 10`,55406,44.946158,-93.227733
256,Ella Baker School – Lower Gym (fka Jefferson),1200 26th St W,55405,44.956134,-93.295549
257,Ella Baker School – Auditorium (fka Jefferson),1200 26th St W,55405,44.956134,-93.295549
258,St. Mary’s Greek Orthodox Church,3450 Irving Ave S,55408,44.940186,-93.302288
259,Bryant Square Park,3101 Bryant Ave S,55408,44.9461354,-93.29030800000001
260,First Universalist Church,3400 Dupont Ave S,55408,44.9408472,-93.29361065268554
261,Spring House Ministry Center,610 W 28th St,55408,44.9523103,-93.28708586488935
262,Whittier Park Recreation Center,425 26th St W ^^,55405,44.9558022,-93.3365144
263,Whittier Park Recreation Center,425 26th St W ^^,55405,44.9558022,-93.3365144
264,Minneapolis College of Art and Design (MCAD),2501 Stevens Ave,55404,44.956795,-93.274622
265,Knox Presbyterian Church,4747 Lyndale Ave S,55419,44.9162728,-93.2878148025286
266,Mayflower Church,106 Diamond Lake Road E,55419,44.904145,-93.276309
267,Windom South Park Recreation Center,5843 Wentworth Ave S,55419,44.89684642857143,-93.28055242857143
268,Pearl Park Recreation Center,414 Diamond Lake Road E,55419,44.904427,-93.268739
269,Diamond Lake Lutheran Church,5760 Portland Ave S E,55417,44.897913,-93.268358
270,McRae Park Recreation Center,906 47th St E HIAATHAW AV,55407,44.918804,-93.261186
271,Hennepin Schools (former St Joe’s Home),1121 46th St E,55407,44.918606600000004,-93.25829881534926
272,Our Lady of Peace Church,5426 12th Ave S,55417,44.90465865,-93.25829665379888
273,The Urban Refuge Church,5501 Chicago Ave,55417,44.903121,-93.262281
274,Keewaydin Park Recreation Center,3030 53rd St E,55417,44.907458,-93.228426
275,Crosstown Covenant Church,5540 30th Ave S,55417,44.902087449999996,-93.23028163918713
276,Wenonah Campus-Lake Nokomis Comm. School,5625 23rd Ave S,55417,44.901089299999995,-93.23834222411676
277,Hiawatha Collegiate High School,3500 28th St E,55406,44.952648,-93.221705
278,Longfellow Park Recreation Center,3435 36th Ave S,55406,44.9401015,-93.21991665590616
279,Sibley Park Recreation Center,1900 40th St E,55407,44.931427,-93.244785
280,Roosevelt High School (Gym),4029 28th Ave S,55406,44.929052549999994,-93.23084230223171
281,St. Helena Catholic Church,3204 43rd St E,55406,44.92527,-93.22529
282,Howe Elementary School,3733 43rd Ave S,55406,44.9347745,-93.21107710000001
283,St. Peder’s Evangelical Lutheran Church,4600 42nd St E,55406,44.927373,-93.207149
284,Nokomis Community Center,2401 Minnehaha Parkway E,55417,44.915452,-93.23656
285,Hiawatha School Park Recreation Center,4305 42nd St E,55406,44.926112,-93.2109
286,Minnehaha United Methodist Church,3701 50th St E,55417,44.912208,-93.218662
287,Trinity Lutheran Church of Minnehaha Falls,5212 41st Ave S,55417,44.908689,-93.21405495918368
288,Morris Park Recreation Center,5531 39th Ave S WARD 13,55417,44.902769,-93.216085
289,Linden Hills Park Recreation Center,3100 43rd St W,55410,44.925033,-93.283119
290,St John’s Episcopal Church,4201 Sheridan Ave S,55410,44.927290600000006,-93.31271812591645
291,St Thomas the Apostle (Gym),2914 W 44th St,55410,44.9238123,-93.3163275
292,Pershing Park Recreation Center,3523 48th St W,55410,44.915472,-93.322807
293,Lake Harriet Methodist Church,4901 Chowen Ave S,55410,44.91398015,-93.32477239934062
294,Christ the King Church,5029 Zenith Ave S,55410,44.91190014285714,-93.32126814285714
295,Armatage Park Recreation Center,2500 57th St W,55410,44.900317,-93.310887
296,Anthony Middle School,5757 Irving Ave S,55419,44.898284149999995,-93.29908335291042
297,Kenny Community School,5720 Emerson Ave S,55419,44.89924024489796,-93.29477465306122
298,Mt. Olivet Lutheran Church,5025 Knox Ave S,55419,44.911758449999994,-93.30203862140567
299,Lynnhurst Park Rec Center,1345 Minnehaha Parkway W,55419,44.91171,-93.298632
300,Sts. Luke & James Episcopal Church,4557 Colfax Ave S,55419,44.9197828,-93.2916415
301,Walker Methodist Home,3737 Bryant Ave S,55409,44.934605,-93.2901236
